Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-06-30;2073;26;45.0;26.0;29.0;70.0;17.0;13.0;62.0;21.0;17.0;20;22.0;58.0;47;26.0;27.0;52.0;24.0;24.0;41.0;29.0;30.0;53;22.0;25.0;82.0;12.0;6.0;39.0;21.0;40.0;35.0;21.0;44.0;48.0;24.0;28.0;58.0;23.0;19.0;X;1;X;1;X;X;1;1;1;2;1;1;1;115230;2321;104;31;10.0;280.0;3399;23746;4545586;;X1X1XX1112111;68756
2021-07-04;2074;26;55.0;26.0;19.0;38.0;30.0;32.0;39.0;30.0;31.0;31;30.0;39.0;35;27.0;38.0;20.0;23.0;57.0;30.0;25.0;45.0;26;26.0;48.0;26.0;26.0;48.0;66.0;21.0;13.0;21.0;23.0;56.0;39.0;31.0;30.0;74.0;17.0;9.0;X;1;1;X;X;1;X;2;2;1;X;2;1;727117;6779;233;56;2.0;121.0;1915;16443;5736624;;X11XX1X221X21;200159
2021-07-07;2075;27;56.0;26.0;18.0;77.0;15.0;8.0;46.0;25.0;29.0;55;24.0;21.0;23;26.0;51.0;52.0;25.0;23.0;67.0;20.0;13.0;25;24.0;51.0;56.0;20.0;24.0;35.0;28.0;37.0;32.0;27.0;41.0;19.0;23.0;58.0;30.0;25.0;45.0;X;1;1;1;2;1;1;2;1;1;2;2;2;336;18;0;0;;40334.0;179625;470664;5197764;;X111211211222;49
2021-07-11;2076;27;33.0;32.0;35.0;66.0;21.0;13.0;59.0;23.0;18.0;32;30.0;38.0;22;30.0;48.0;59.0;23.0;18.0;73.0;17.0;10.0;60;22.0;18.0;32.0;26.0;42.0;24.0;27.0;49.0;69.0;19.0;12.0;20.0;29.0;51.0;32.0;31.0;37.0;X;1;1;2;2;1;1;X;X;1;1;X;2;50141;560;28;0;65.0;2022.0;22054;131297;7925586;2.5;X112211XX11X2;13124
2021-07-13;2077;28;14.0;19.0;67.0;22.0;27.0;51.0;13.0;27.0;60.0;23;30.0;47.0;27;29.0;44.0;14.0;21.0;65.0;27.0;29.0;44.0;21;27.0;52.0;13.0;19.0;68.0;29.0;25.0;46.0;21.0;25.0;54.0;46.0;27.0;27.0;47.0;28.0;25.0;X;2;1;2;2;2;1;2;2;1;X;1;1;325205;2186;85;24;7.0;255.0;3556;25475;3899539;2.0;X212221221X11;70190
2021-07-18;2078;28;52.0;29.0;19.0;51.0;28.0;21.0;43.0;28.0;29.0;19;23.0;58.0;32;29.0;39.0;48.0;27.0;25.0;31.0;28.0;41.0;50;27.0;23.0;22.0;25.0;53.0;49.0;26.0;25.0;31.0;29.0;40.0;36.0;27.0;37.0;58.0;22.0;20.0;1;1;2;2;2;X;1;1;X;1;2;X;X;91586;1494;69;21;14.0;484.0;5669;37936;5058021;;11222X11X12XX;95463
2021-07-21;2079;29;67.0;24.0;9.0;31.0;30.0;39.0;29.0;24.0;47.0;48;26.0;26.0;76;16.0;8.0;79.0;14.0;7.0;35.0;26.0;39.0;50;26.0;24.0;39.0;26.0;35.0;42.0;26.0;32.0;42.0;28.0;30.0;51.0;25.0;24.0;50.0;28.0;22.0;1;X;X;1;1;1;X;X;2;1;1;1;2;13057;300;17;0;89.0;2184.0;20213;103521;4584202;;1XX111XX21112;22687
2021-07-25;2080;29;48.0;26.0;26.0;42.0;27.0;31.0;27.0;27.0;46.0;44;30.0;26.0;54;26.0;20.0;52.0;26.0;22.0;69.0;18.0;13.0;22;25.0;53.0;29.0;28.0;43.0;19.0;25.0;56.0;29.0;28.0;43.0;45.0;29.0;26.0;45.0;27.0;28.0;1;X;2;1;1;X;X;1;1;X;2;X;1;1137490;11508;454;106;2.0;75.0;1035;9200;6035691;2.0;1X211XX11X2X1;488334
2021-07-28;2081;30;30.0;25.0;45.0;36.0;29.0;35.0;67.0;21.0;12.0;47;25.0;28.0;63;20.0;17.0;25.0;27.0;48.0;67.0;21.0;12.0;48;28.0;24.0;49.0;28.0;23.0;48.0;28.0;24.0;52.0;25.0;23.0;41.0;28.0;31.0;41.0;26.0;33.0;2;X;1;1;1;2;1;1;1;2;2;1;2;15700;356;19;0;86.0;2139.0;21679;120948;5326489;;2X11121112212;2669
2021-08-01;2082;30;56.0;25.0;19.0;48.0;29.0;23.0;18.0;22.0;60.0;32;28.0;40.0;34;29.0;37.0;27.0;30.0;43.0;28.0;27.0;45.0;31;27.0;42.0;59.0;25.0;16.0;28.0;27.0;45.0;58.0;26.0;16.0;39.0;29.0;32.0;51.0;25.0;24.0;1;1;X;X;1;1;2;X;1;2;1;2;2;170006;3310;153;43;16.0;316.0;3724;27581;7315746;2.0;11XX112X12122;88203
