Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2022-08-06;4753;31;19.0;25.0;56.00000000000001;71.0;18.000000000000004;10.999999999999998;57.99999999999999;25.0;17.000000000000004;40.0;28.999999999999993;31.000000000000007;26.0;27.0;47.0;38.0;29.000000000000004;32.99999999999999;54.0;25.0;20.999999999999996;48.0;27.0;25.0;31.0;27.999999999999996;41.0;38.0;29.000000000000004;32.99999999999999;40.0;28.999999999999993;31.000000000000007;55.00000000000001;26.0;18.999999999999993;48.0;27.0;25.0;2;1;1;1;1;2;X;X;1;1;2;1;1;151162;1232;89;27;86;2238;24605;164784;28283403;13.0;211112XX11211;24741
2022-08-13;4754;32;25.0;28.000000000000004;47.0;65.0;19.999999999999996;15.000000000000002;90.0;7.9999999999999964;2.0000000000000018;39.0;29.999999999999993;31.000000000000007;42.0;27.999999999999996;30.000000000000004;41.0;28.999999999999996;30.000000000000004;41.0;27.999999999999996;31.000000000000007;40.0;28.000000000000004;31.999999999999996;36.0;30.000000000000004;34.0;27.0;26.0;47.0;39.0;29.999999999999993;31.000000000000007;42.0;28.999999999999996;29.000000000000004;44.0;27.999999999999996;28.000000000000004;1;1;1;X;X;X;X;2;1;1;1;2;1;558246;7476;396;96;11;308;4652;39693;23618114;;111XXXX211121;183995
2022-08-20;4755;33;11.0;20.0;69.0;38.0;29.000000000000004;32.99999999999999;49.0;27.0;24.0;39.0;28.000000000000004;32.99999999999999;52.0;25.0;23.0;57.99999999999999;25.0;17.000000000000004;50.0;27.0;23.0;32.0;31.0;37.0;50.0;27.0;23.0;27.0;27.0;46.0;45.0;27.999999999999996;27.0;52.0;27.0;20.999999999999996;60.0;25.0;15.000000000000002;2;1;X;1;2;X;2;X;X;1;2;1;1;2067713;9494;480;114;3;245;3872;33870;23858234;;21X12X2XX1211;380383
2022-08-27;4756;34;73.0;17.000000000000004;9.999999999999998;70.0;19.000000000000007;10.999999999999998;85.0;9.999999999999998;5.000000000000004;48.0;26.0;26.0;51.0;26.0;23.0;43.0;27.999999999999996;29.000000000000004;42.0;28.999999999999996;29.000000000000004;37.0;30.000000000000004;32.99999999999999;25.0;27.0;48.0;49.0;27.0;24.0;44.0;27.999999999999996;28.000000000000004;52.0;26.0;21.999999999999996;28.999999999999996;30.0;41.0;1;1;1;X;1;X;2;X;X;2;1;2;2;142804;1725;104;29;49;1521;20149;149483;26913070;;111X1X2XX2122;56305
2022-09-03;4757;35;12.0;18.0;70.0;43.0;25.999999999999996;31.000000000000007;65.0;19.999999999999996;15.000000000000002;69.0;19.000000000000007;12.0;48.0;26.0;26.0;47.0;26.0;27.0;43.0;27.999999999999996;29.000000000000004;44.0;27.999999999999996;28.000000000000004;45.0;28.999999999999996;26.0;49.0;28.000000000000004;23.0;56.99999999999999;25.0;18.000000000000004;31.0;28.999999999999996;40.0;41.0;27.999999999999996;31.000000000000007;X;1;1;1;X;2;1;2;2;1;2;X;1;1000000;7475;482;132;13;419;5191;39456;32127354;13.0;X111X212212X1;292096
2022-09-10;4759;36;15.0;22.0;63.0;67.0;20.0;13.0;8.0;15.0;77.0;59.0;25.0;16.0;47.0;26.0;27.0;49.0;26.0;25.0;33.0;27.0;40.0;20.0;24.0;56.0;56.0;24.0;20.0;79.0;13.0;8.0;30.0;27.0;43.0;45.0;25.0;30.0;34.0;26.0;40.0;2;1;2;1;1;1;X;1;1;1;1;1;1;1223;30;0;0;2823;42163;246768;811280;13285521;;212111X111111;798
2022-09-17;4760;37;64.0;22.0;14.0;66.0;22.0;12.0;34.0;29.0;37.0;58.0;24.0;18.0;36.0;30.0;34.0;42.0;29.0;29.0;47.0;27.0;26.0;39.0;28.0;33.0;30.0;29.0;41.0;40.0;28.0;32.0;51.0;26.0;23.0;46.0;29.0;25.0;61.0;23.0;16.0;1;X;X;1;1;1;1;X;2;X;X;2;X;1609451;9143;462;109;6;265;4188;36815;24852071;10.0;1XX1111X2XX2X;363929
2022-09-24;4761;38;48.0;28.0;24.0;24.0;27.0;49.0;65.0;22.0;13.0;21.0;26.0;53.0;44.0;30.0;26.0;40.0;30.0;30.0;43.0;29.0;28.0;16.0;25.0;59.0;67.0;20.0;13.0;39.0;26.0;35.0;55.0;23.0;22.0;67.0;19.0;14.0;37.0;25.0;38.0;1;1;2;2;1;1;1;1;1;2;2;1;2;380217;3617;216;51;12;473;6328;55056;17548520;;1122111112212;136150
2022-10-01;4762;39;48.0;27.0;25.0;21.0;27.0;52.0;71.0;19.0;10.0;32.0;28.0;40.0;43.0;29.0;28.0;28.0;28.0;44.0;42.0;28.0;30.0;42.0;30.0;28.0;23.0;26.0;51.0;31.0;29.0;40.0;34.0;29.0;37.0;41.0;29.0;30.0;44.0;28.0;28.0;1;2;X;2;2;X;2;1;2;X;1;2;X;714285;5980;375;98;21;523;6660;52855;32080792;15.0;12X22X212X12X;419167
2022-10-08;4763;40;34.0;28.0;38.0;70.0;19.0;11.0;28.0;26.0;46.0;53.0;24.0;23.0;35.0;29.0;36.0;49.0;28.0;23.0;27.0;28.0;45.0;29.0;28.0;43.0;35.0;30.0;35.0;29.0;29.0;42.0;42.0;28.0;30.0;52.0;26.0;22.0;41.0;29.0;30.0;2;1;1;1;1;1;1;2;1;1;1;X;2;102822;1345;87;26;63;1805;22187;152450;24914600;;21111112111X2;67114
