Datum;ID_Omg;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M1;M2;M3;M4;M5;M6;M7;M8;8 rätt;Vinnande Rad Nr;Antal Vinnare;Omsättning;Extra Pengar;Correct_Row;True_Rank
2021-08-22;1347;21;27;52;17;22;61;30;30;40;51;27;22;42;27;31;36;30;34;36;27;37;55;23;22;2;X;2;1;X;1;X;1;2 048,00 kr;654;899;2 631 300,00 kr;;2X21X1X1;686
2021-08-26;1348;38;26;36;35;29;36;24;25;51;31;27;42;29;26;45;62;22;16;27;27;46;35;27;38;1;2;X;1;1;1;2;1;1 490,00 kr;784;901;1 918 856,00 kr;;12X11121;834
2021-08-29;1349;17;27;56;32;26;42;69;19;12;26;26;48;43;29;28;34;29;37;21;24;55;67;20;13;2;X;1;1;1;2;1;1;1 743,00 kr;310;1093;2 722 936,00 kr;;2X111211;319
2021-09-02;1350;22;24;54;13;20;67;37;29;34;22;25;53;51;25;24;64;21;15;80;14;6;66;21;13;1;2;2;2;X;1;1;1;305,00 kr;53;6507;2 837 493,00 kr;;1222X111;57
2021-09-05;1351;71;18;11;26;28;46;41;28;31;34;32;34;63;22;15;27;30;43;38;31;31;46;28;26;1;X;X;1;1;X;1;X;1 331,00 kr;647;1315;2 501 482,00 kr;;1XX11X1X;659
2021-09-07;1352;72;17;11;55;25;20;71;18;11;23;27;50;74;16;10;56;25;19;86;10;4;39;32;29;1;1;1;X;1;2;1;1;184,00 kr;34;8031;2 120 173,00 kr;;111X1211;33
2021-09-12;1353;22;23;55;48;25;27;59;22;19;45;28;27;45;26;29;43;29;28;56;25;19;42;29;29;2;1;1;2;1;1;1;2;459,00 kr;25;4041;2 652 631,00 kr;;21121112;25
2021-09-15;1354;65;19;16;39;28;33;74;16;10;59;26;15;33;27;40;12;18;70;40;28;32;25;27;48;1;2;1;X;2;X;X;2;3 336,00 kr;747;531;2 530 604,00 kr;;121X2XX2;734
2021-09-19;1355;21;26;53;22;24;54;35;30;35;47;28;25;66;18;16;23;26;51;25;25;50;38;30;32;2;2;1;X;X;1;2;X;2 407,00 kr;1579;793;2 727 112,00 kr;;221XX12X;1608
2021-09-22;1356;68;20;12;62;23;15;22;26;52;36;29;35;76;16;8;31;26;43;33;27;40;45;27;28;X;2;2;X;1;2;2;1;2 037,00 kr;943;759;2 209 592,00 kr;;X22X1221;962
2021-09-26;1357;40;29;31;39;29;32;38;26;36;31;28;41;58;24;18;13;22;65;41;25;34;38;26;36;1;2;X;1;1;2;1;1;1 278,00 kr;197;1478;2 698 698,00 kr;;12X11211;208
2021-09-29;1358;64;21;15;27;29;44;63;21;16;33;27;40;68;18;14;46;24;30;38;27;35;42;30;28;1;1;1;1;1;1;X;1;567,00 kr;77;3116;2 524 498,00 kr;;111111X1;73
2021-10-03;1359;33;26;41;45;27;28;53;27;20;31;27;42;44;27;29;22;24;54;19;24;57;47;26;27;X;1;2;X;2;2;1;1;11 930,00 kr;3109;169;2 880 445,00 kr;;X12X2211;3173
2021-10-08;1360;43;27;30;50;26;24;57;25;18;56;26;18;31;30;39;8;19;73;13;24;63;47;29;24;X;X;1;X;1;2;2;X;706,00 kr;570;2013;2 032 863,00 kr;;XX1X122X;600
2021-10-10;1361;32;29;39;41;28;31;55;26;19;26;27;47;48;27;25;26;28;46;37;29;34;70;17;13;2;1;1;X;1;1;1;1;704,00 kr;139;1872;1 883 563,00 kr;;211X1111;138
2021-10-12;1362;50;27;23;44;31;25;64;22;14;85;11;4;55;25;20;38;31;31;25;27;48;10;19;71;1;2;1;X;X;1;2;2;4 300,00 kr;844;381;2 340 768,00 kr;;121XX122;892
2021-10-17;1363;37;28;35;27;27;46;52;26;22;17;23;60;39;29;32;38;27;35;58;24;18;34;30;36;2;2;1;2;X;1;1;1;511,00 kr;60;3476;2 540 346,00 kr;;2212X111;33
2021-10-20;1364;87;9;4;55;23;22;13;18;69;26;28;46;25;29;46;29;26;45;41;29;30;43;28;29;1;1;2;2;X;2;X;2;485,00 kr;69;3431;2 378 314,00 kr;;1122X2X2;62
2021-10-24;1365;31;27;42;39;28;33;36;29;35;45;27;28;34;28;38;30;24;46;37;27;36;55;25;20;2;1;2;X;X;1;2;X;6 084,00 kr;3530;316;2 746 543,00 kr;;212XX12X;3679
2021-10-27;1366;33;28;39;49;27;24;33;29;38;15;20;65;57;25;18;52;27;21;30;24;46;20;24;56;2;X;2;X;1;X;2;2;1 326,00 kr;899;1216;2 304 227,00 kr;;2X2X1X22;945
